Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"DUBK","DUKHAN BANK","Financials","Equity","3,962,166.06","0.03","3,962,166.06","3,957,818.00","1.00","Qatar","Qatar Exchange","USD","3.64","QAR","-"
"QEWS","QATAR ELECTRICITY AND WATER","Utilities","Equity","3,950,364.73","0.03","3,950,364.73","913,224.00","4.33","Qatar","Qatar Exchange","USD","3.64","QAR","-"
"CMPC","EMPRESAS CMPC SA","Materials","Equity","3,946,497.80","0.03","3,946,497.80","2,335,127.00","1.69","Chile","Santiago Stock Exchange","USD","1,008.25","CLP","-"
"MULTIPLY","MULTIPLY GROUP","Industrials","Equity","3,942,203.19","0.03","3,942,203.19","6,797,987.00","0.58","United Arab Emirates","Abu Dhabi Securities Exchange","USD","3.67","AED","-"
"GBK","GULF BANK","Financials","Equity","3,928,609.85","0.03","3,928,609.85","4,041,230.00","0.97","Kuwait","Kuwait Stock Exchange","USD","0.31","KWD","-"
"UNIONBANK","UNION BANK OF INDIA LTD","Financials","Equity","3,929,198.14","0.03","3,929,198.14","3,130,707.00","1.26","India","National Stock Exchange Of India","USD","86.61","INR","-"
"051900","LG H & H LTD","Consumer Staples","Equity","3,926,519.19","0.03","3,926,519.19","18,892.00","207.84","Korea (South)","Korea Exchange (Stock Market)","USD","1,457.85","KRW","-"
"UGPA3","ULTRAPAR PARTICIPOES SA","Energy","Equity","3,906,039.25","0.03","3,906,039.25","1,483,214.00","2.63","Brazil","XBSP","USD","6.04","BRL","-"
"9910","FENG TAY ENTERPRISES LTD","Consumer Discretionary","Equity","3,897,909.14","0.03","3,897,909.14","1,006,593.00","3.87","Taiwan","Taiwan Stock Exchange","USD","32.93","TWD","-"
"ENELAM","ENEL AMERICAS SA","Utilities","Equity","3,889,771.28","0.02","3,889,771.28","44,214,903.00","0.09","Chile","Santiago Stock Exchange","USD","1,008.25","CLP","-"
"BRFS3","BRF BRASIL FOODS SA","Consumer Staples","Equity","3,876,493.76","0.02","3,876,493.76","1,027,424.00","3.77","Brazil","XBSP","USD","6.04","BRL","-"
"1882","HAITIAN INTERNATIONAL LTD","Industrials","Equity","3,864,419.74","0.02","3,864,419.74","1,429,000.00","2.70","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"000001","PING AN BANK LTD A","Financials","Equity","3,859,321.69","0.02","3,859,321.69","2,470,067.00","1.56","China","Shenzhen Stock Exchange","USD","7.33","CNY","-"
"8230","AL RAJHI COMPANY FOR COOPERATIVE I","Financials","Equity","3,856,370.47","0.02","3,856,370.47","82,870.00","46.54","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"390","CHINA RAILWAY GROUP LTD H","Industrials","Equity","3,822,983.19","0.02","3,822,983.19","8,021,000.00","0.48","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"392","BEIJING ENTERPRISES HOLDINGS LTD","Utilities","Equity","3,820,370.76","0.02","3,820,370.76","1,075,500.00","3.55","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"601668","CHINA STATE CONSTRUCTION ENGINEERI","Industrials","Equity","3,798,381.99","0.02","3,798,381.99","4,944,171.00","0.77","China","Shanghai Stock Exchange","USD","7.33","CNY","-"
"034220","LG DISPLAY LTD","Information Technology","Equity","3,791,045.58","0.02","3,791,045.58","616,140.00","6.15","Korea (South)","Korea Exchange (Stock Market)","USD","1,457.85","KRW","-"
"4263","SAL SAUDI LOGISTICS SERVICE CO","Industrials","Equity","3,781,461.14","0.02","3,781,461.14","51,819.00","72.97","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"601601","CHINA PACIFIC INSURANCE (GROUP) LT","Financials","Equity","3,774,466.81","0.02","3,774,466.81","875,607.00","4.31","China","Shanghai Stock Exchange","USD","7.33","CNY","-"
"NTCO3","NATURA CO HOLDING SA","Consumer Staples","Equity","3,772,374.02","0.02","3,772,374.02","1,835,301.00","2.06","Brazil","XBSP","USD","6.04","BRL","-"
"TM","TELEKOM MALAYSIA","Communication","Equity","3,763,462.05","0.02","3,763,462.05","2,617,000.00","1.44","Malaysia","Bursa Malaysia","USD","4.51","MYR","-"
"AMR","AMERICANA RESTAURANTS INTERNATIONA","Consumer Discretionary","Equity","3,744,565.52","0.02","3,744,565.52","5,778,903.00","0.65","United Arab Emirates","Abu Dhabi Securities Exchange","USD","3.67","AED","-"
"FROTO.E","FORD OTOMOTIV SANAYI A","Consumer Discretionary","Equity","3,738,559.97","0.02","3,738,559.97","144,189.00","25.93","Turkey","Istanbul Stock Exchange","USD","35.56","TRY","-"
"ISA","INTERCONEXION ELECTRICA SA","Utilities","Equity","3,737,668.09","0.02","3,737,668.09","948,230.00","3.94","Colombia","Bolsa De Valores De Colombia","USD","4,338.20","COP","-"
